"","part_id","diaryday","work_loc","largegroup","social_cont"
"1",1,"Second day","telecommute","No",3
"2",1,"First day","telecommute","No",2
"3",2,"Second day","telecommute","No",1
"4",2,"First day","telecommute","No",3
"5",3,"First day","telecommute","No",3
"6",3,"Second day","telecommute","No",6
"7",4,"First day","telecommute","No",3
"8",4,"Second day","telecommute","No",3
"9",5,"Second day","telecommute","No",1
"10",5,"First day","telecommute","No",0
"11",6,"Second day","telecommute","No",6
"12",6,"First day","telecommute","No",6
"13",7,"First day","telecommute","No",2
"14",7,"Second day","telecommute","No",2
"15",8,"First day","both","Yes",3
"16",8,"Second day","telecommute","No",1
"17",9,"First day","telecommute","No",2
"18",9,"Second day","telecommute","No",1
"19",10,"First day","telecommute","No",1
"20",10,"Second day","telecommute","No",1
"21",11,"Second day","telecommute","Yes",4
"22",11,"First day","telecommute","No",3
"23",12,"First day","telecommute","Yes",1
"24",12,"Second day","telecommute","No",1
"25",13,"First day",NA,"No",5
"26",13,"Second day",NA,"No",9
"27",14,"First day","telecommute","Yes",5
"28",14,"Second day","telecommute","No",2
"29",15,"Second day","telecommute","No",3
"30",15,"First day","telecommute","No",3
"31",16,"First day","telecommute","No",0
"32",16,"Second day","telecommute","No",0
"33",17,"Second day","telecommute","No",3
"34",17,"First day","telecommute","No",5
"35",18,"First day","telecommute","No",0
"36",18,"Second day","telecommute","No",0
"37",19,"First day","both","Yes",4
"38",19,"Second day","telecommute","No",3
"39",20,"First day","telecommute","No",6
"40",20,"Second day","telecommute","No",8
"41",21,"First day","office","No",1
"42",21,"Second day","telecommute","Yes",0
"43",22,"Second day","telecommute","No",3
"44",22,"First day","telecommute","No",4
"45",23,"Second day","telecommute","No",1
"46",23,"First day","telecommute","No",1
"47",24,"Second day","telecommute","No",1
"48",24,"First day","telecommute","No",2
"49",25,"Second day","telecommute","No",2
"50",25,"First day",NA,"No",1
"51",26,"First day","telecommute","No",1
"52",26,"Second day","telecommute","No",1
"53",27,"Second day","telecommute","No",1
"54",27,"First day","telecommute","Yes",2
"55",28,"Second day","telecommute","No",1
"56",28,"First day","telecommute","No",4
"57",29,"First day","telecommute","No",1
"58",29,"Second day","telecommute","No",1
"59",30,"First day","telecommute","No",0
"60",30,"Second day","telecommute","No",1
"61",31,"First day","telecommute","No",1
"62",31,"Second day","telecommute","No",0
"63",32,"First day","both","No",4
"64",32,"Second day","telecommute","No",1
"65",33,"Second day","telecommute","No",1
"66",33,"First day","both","Yes",4
"67",34,"First day","telecommute","Yes",5
"68",34,"Second day","telecommute","No",1
"69",35,"First day","telecommute","No",0
"70",35,"Second day","telecommute","No",0
"71",36,"Second day","telecommute","No",2
"72",36,"First day","telecommute","No",3
"73",37,"Second day","telecommute","No",0
"74",37,"First day","telecommute","No",1
"75",38,"First day","telecommute","No",0
"76",38,"Second day","telecommute","No",0
"77",39,"First day","telecommute","No",3
"78",39,"Second day","telecommute","No",1
"79",40,"Second day","telecommute","No",0
"80",40,"First day","telecommute","No",0
"81",41,"First day","telecommute","No",0
"82",41,"Second day","telecommute","No",2
"83",42,"First day","telecommute","No",1
"84",42,"Second day","telecommute","No",1
"85",43,"Second day","telecommute","No",0
"86",43,"First day","telecommute","No",0
"87",44,"First day","telecommute","No",0
"88",44,"Second day","telecommute","No",3
"89",45,"Second day","telecommute","Yes",1
"90",45,"First day","telecommute","Yes",0
"91",46,"First day","telecommute","No",2
"92",46,"Second day","telecommute","No",2
"93",47,"First day","telecommute","No",4
"94",47,"Second day","telecommute","No",1
"95",48,"First day","telecommute","No",1
"96",48,"Second day","telecommute","No",1
"97",49,"Second day","telecommute","No",1
"98",49,"First day","telecommute","Yes",1
"99",50,"Second day","telecommute","No",4
"100",50,"First day","telecommute","No",4
"101",51,"First day",NA,"No",2
"102",51,"Second day",NA,"No",2
